link,price,code,Fabric Type,Neckline,Collection,Trouser,Sleeves,Embellishment,Color,Size,Shirt,Dupatta
https://www.junaidjamshed.com/rust-lawn-unstitched-3pc-jlawn-s-24-078.html,pkr 6 050.00,JLAWN-S-24-078,lawn  lawn,striped  white  solid  unknown  plain,spring  summer  collection  lawn  shirt  dupatta  unstitched  piece,meter  solid  plain  striped  cotton  jean  long  dress  wood,solid  plain  striped  stripe,,rust  orange  blue  red  brown  white  black  gray  yellow  yes,3 piece,solid  striped  plain  stripe  stripe blue  cotton  unknown  know,solid  plain  striped  stripe  blue
https://www.junaidjamshed.com/black-jacquard-unstitched-2pc-jlawn-s-jds-24-1079-naqash-3.html,pkr 4 820.00,JLAWN-S-JDS-24-1079 NAQASH-3,lawn  jacquard,,festive  collection  lawn  shirt  jacquard  dupatta  unstitched  piece,,short  black  long  striped  plaid,,black  white  gray  red  brown  orange  pink  black,2 piece,floral  paisley  solid  striped  plain dress  blue  cotton  unknown  white,floral  paisley  flower  polka  dot  indian
https://www.junaidjamshed.com/green-lawn-2pc-stitched-jlawn-s-jds-24-1107.html,pkr 5 840.00,JLAWN-S-JDS-24-1107,lawn,round  neck  slit  striped  solid  plain  unknown  floral,printed  lawn  shirt  chiffon  dupatta  festive  collection  piece  stitched,floral  checkered  striped  solid  black  long  short  cold  dress  slack  jean,printed  straight  sleeve  striped  long  black  plaid  yellow,tassel  front  slit,green  yellow  striped  blue  plaid  black  gray,,printed  straight  sleeve  striped  floral  stripe  flower  paisley  long  short  medium  yes  cotton  blue  dress  unknown  mid  length,
https://www.junaidjamshed.com/black-lawn-kurti-jjlk-s-jss-24-454-fb.html,pkr 2 560.00,JJLK-S-JSS-24-454,lawn,extended  collar  striped  solid  unknown  white  checkered,monochrome  collection  lady  kurti,printed  azaar  trouser,printed  sleeve  short  long  striped  black  plaid,,black  gray  red  white,,printed  front  checkered  polka  dot  solid  striped  print  back  classic  kameez  short  long  medium  tall  cotton  dress  blue  button  length,
https://www.junaidjamshed.com/green-kurti-jjlk-w-jws-23-3056.html,pkr 8 200.00,JJLK-W-JWS-23-3056,paper  cotton,v  neck  white  striped  solid  dress  plain,embroidered  dyed  semi  formal  shirt  winter  collection  lady  kurti  formal,,embroidered  long  short  gray  black  striped,,green  gray  blue  white  black,,embroidered  solid  plain  striped  floral  plaid  straight  shirt  side  panel  short  long  medium  yes  dress  cotton  blue  button  unknown,
https://www.junaidjamshed.com/orange-lawn-kurti-jjlk-s-jss-24-314.html,pkr 3 280.00,JJLK-S-JSS-24-314,lawn,round  neck  placket  striped  long  white  unknown  solid,printed  lawn  shirt  spring  summer  collection  lady  kurti,,loose  cut  long  short  striped  plaid  black,,orange  blue  white  shirt  plaid,,plaid  striped  solid  stripe  checkered  dropped  shoulder  long  short  medium  yes  cotton  blue  button  dress  mid,
https://www.junaidjamshed.com/orange-khaddi-kurti-jjlk-w-jws-23-3017.html,pkr 4 100.00,JJLK-W-JWS-23-3017,khaddi  plain  jacquard,sherwani  collar  striped  white  solid  plain  long,embroidered  shirt  winter  collection  lady  kurti  casual,,straight  long  short  striped  white  black,,orange  blue  white  gray  yellow,,straight  striped  solid  stripe  plain  floral  short  long  medium  tall  yes  dress  cotton  blue  button,
https://www.junaidjamshed.com/multi-khaddar-kurti-jjlk-s-jpws-23-3010.html,pkr 3 590.00,JJLK-S-JPWS-23-3010,multi  khaddar  slub,boat  neck  v  striped  plaid  unknown  blue  stripe,gold  printed  khaddar  shirt  midsummer  collection  lady  kurti,,printed  sleeve  plaid  striped  long  short  cold,embellishment  sleeve  neckline,multicolor  blue  gray  plaid  white,,printed  front  plaid  striped  stripe  checkered  solid  back  loose  fit  drop  shoulder  long  short  medium  tall  cotton  dress  blue  medium,
https://www.junaidjamshed.com/beige-impure-silk-stitched-2pc-jlawn-s-jds-24-1099.html,pkr 6 560.00,JLAWN-S-JDS-24-1099,silk  impure,round  neck  slit  plaid  striped  checkered  unknown  tank  top,embroidered  printed  silk  shirt  dupatta  festive  collection  piece  stitched,checkered  striped  plaid  solid  floral  short  long  cold  dress  black,loose  cut  plaid  short  long  red  striped,,beige  red  plaid  white  floral  black  gray  blue,,plaid  paisley  floral  checkered  striped  loose  fit  dropped  shoulder  short  long  medium  yes  cotton  dress  blue  long,
https://www.junaidjamshed.com/multicolor-lawn-unstitched-2pc-jlawn-s-jds-24-1065.html,pkr 4 710.00,JLAWN-S-JDS-24-1065,lawn  silk,,spring  summer  collection  lawn  shirt  silk  dupatta  unstitched  piece,,long  short  solid  red  plain,,multicolor  pink  purple  brown  red  gray  gray,2 piece,solid  plain  striped  floral  plaid dress  polo  unknown  blue  cotton,solid  plain  floral  paisley
